date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:57:28	26980/26980	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20May%202020%2014:12:03%20GMT	http://slimhamdi.net/tunis/dark/img/projects/project-8.jpg	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/img/projects/project-8.jpg	(from http://slimhamdi.net/tunis/dark/portfolio.html)
11:57:28	11355/11355	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2006:27:28%20GMT	http://slimhamdi.net/tunis/dark/blog-post.html	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/blog-post.html	(from http://slimhamdi.net/tunis/dark/blog.html)
11:57:30	28456/28456	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20May%202020%2014:12:04%20GMT	http://slimhamdi.net/tunis/dark/img/projects/project-9.jpg	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/img/projects/project-9.jpg	(from http://slimhamdi.net/tunis/dark/portfolio.html)
11:57:37	52884/52884	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20May%202020%2014:11:58%20GMT	http://slimhamdi.net/tunis/dark/img/blog/blog-post-1.jpg	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/img/blog/blog-post-1.jpg	(from http://slimhamdi.net/tunis/dark/blog.html)
11:57:38	60507/60507	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20May%202020%2014:11:58%20GMT	http://slimhamdi.net/tunis/dark/img/blog/blog-post-2.jpg	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/img/blog/blog-post-2.jpg	(from http://slimhamdi.net/tunis/dark/blog.html)
11:57:45	37738/37738	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20May%202020%2014:12:00%20GMT	http://slimhamdi.net/tunis/dark/img/blog/blog-post-5.jpg	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/img/blog/blog-post-5.jpg	(from http://slimhamdi.net/tunis/dark/blog.html)
11:57:45	90147/90147	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20May%202020%2014:11:59%20GMT	http://slimhamdi.net/tunis/dark/img/blog/blog-post-3.jpg	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/img/blog/blog-post-3.jpg	(from http://slimhamdi.net/tunis/dark/blog.html)
11:57:48	21218/21218	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2018%20May%202020%2014:11:54%20GMT	http://slimhamdi.net/tunis/dark/js/popper.min.js	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/js/popper.min.js	(from http://slimhamdi.net/tunis/dark/index.html)
11:57:49	76301/76301	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20May%202020%2014:11:59%20GMT	http://slimhamdi.net/tunis/dark/img/blog/blog-post-4.jpg	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/img/blog/blog-post-4.jpg	(from http://slimhamdi.net/tunis/dark/blog.html)
11:57:49	77160/77160	---M--	200	added ('OK')	text/html	date:Mon,%2018%20May%202020%2014:11:45%20GMT	http://slimhamdi.net/tunis/dark/fonts/fontawesome-webfont.woff2?v=4.7.0	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/fonts/fontawesome-webfont3e6e.woff2	(from http://slimhamdi.net/tunis/dark/css/font-awesome.min.css)
11:57:51	624/624	---M--	200	added ('OK')	image/png	date:Mon,%2018%20May%202020%2014:12:18%20GMT	http://slimhamdi.net/tunis/dark/img/projects/navigation/left-arrow.png	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/img/projects/navigation/left-arrow.png	(from http://slimhamdi.net/tunis/dark/css/style.css)
11:57:55	45810/45810	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20May%202020%2014:12:00%20GMT	http://slimhamdi.net/tunis/dark/img/blog/blog-post-6.jpg	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/img/blog/blog-post-6.jpg	(from http://slimhamdi.net/tunis/dark/blog.html)
11:57:58	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2018%20May%202020%2014:11:43%20GMT	http://slimhamdi.net/tunis/dark/fonts/fontawesome-webfont.svg?v=4.7.0	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/fonts/fontawesome-webfont3e6e.svg	(from http://slimhamdi.net/tunis/dark/css/font-awesome.min.css)
11:57:59	35377/35377	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20May%202020%2014:12:02%20GMT	http://slimhamdi.net/tunis/dark/img/projects/project-3.jpg	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/img/projects/project-3.jpg	(from http://slimhamdi.net/tunis/dark/portfolio.html)
11:58:48	1397560/1397560	---M--	200	added ('OK')	video/mp4	date:Mon,%2018%20May%202020%2014:12:18%20GMT	http://slimhamdi.net/tunis/dark/img/projects/video.mp4	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/img/projects/video.mp4	(from http://slimhamdi.net/tunis/dark/portfolio.html)
